시도,시군구,연령군,환자수
서울,강남구,0~9세,24
서울,강남구,10~19세,29
서울,강남구,20~29세,39
서울,강남구,30~39세,63
서울,강남구,40~49세,57
서울,강남구,50~59세,43
서울,강남구,60~69세,13
서울,강남구,70~79세,0
서울,강남구,80~89세,0
서울,강남구,90~99세,0
서울,강남구,100세 이상,0
서울,강남구,0~9세,16
서울,강남구,10~19세,25
서울,강남구,20~29세,157
서울,강남구,30~39세,228
서울,강남구,40~49세,236
서울,강남구,50~59세,114
서울,강남구,60~69세,43
서울,강남구,70~79세,0
서울,강남구,80~89세,0
서울,강남구,90~99세,0
서울,강남구,100세 이상,0
서울,강동구,0~9세,0
서울,강동구,10~19세,0
서울,강동구,20~29세,22
서울,강동구,30~39세,26
서울,강동구,40~49세,29
서울,강동구,50~59세,14
서울,강동구,60~69세,0
서울,강동구,70~79세,0
서울,강동구,80~89세,0
서울,강동구,90~99세,0
서울,강동구,100세 이상,0
서울,강동구,0~9세,0
서울,강동구,10~19세,0
서울,강동구,20~29세,64
서울,강동구,30~39세,166
서울,강동구,40~49세,182
서울,강동구,50~59세,88
서울,강동구,60~69세,35
서울,강동구,70~79세,0
서울,강동구,80~89세,0
서울,강동구,90~99세,0
서울,강동구,100세 이상,0
서울,강서구,0~9세,0
서울,강서구,10~19세,0
서울,강서구,20~29세,0
서울,강서구,30~39세,11
서울,강서구,40~49세,0
서울,강서구,50~59세,0
서울,강서구,60~69세,0
서울,강서구,70~79세,0
서울,강서구,80~89세,0
서울,강서구,90~99세,0
서울,강서구,100세 이상,0
서울,강서구,0~9세,0
서울,강서구,10~19세,0
서울,강서구,20~29세,23
서울,강서구,30~39세,35
서울,강서구,40~49세,55
서울,강서구,50~59세,26
서울,강서구,60~69세,12
서울,강서구,70~79세,0
서울,강서구,80~89세,0
서울,강서구,90~99세,0
서울,강서구,100세 이상,0
서울,관악구,0~9세,0
서울,관악구,10~19세,0
서울,관악구,20~29세,79
서울,관악구,30~39세,118
서울,관악구,40~49세,58
서울,관악구,50~59세,20
서울,관악구,60~69세,0
서울,관악구,70~79세,0
서울,관악구,80~89세,0
서울,관악구,90~99세,0
서울,관악구,100세 이상,0
서울,관악구,0~9세,0
서울,관악구,10~19세,22
서울,관악구,20~29세,197
서울,관악구,30~39세,340
서울,관악구,40~49세,198
서울,관악구,50~59세,90
서울,관악구,60~69세,22
서울,관악구,70~79세,0
서울,관악구,80~89세,0
서울,관악구,90~99세,0
서울,관악구,100세 이상,0
서울,구로구,0~9세,0
서울,구로구,10~19세,0
서울,구로구,20~29세,11
서울,구로구,30~39세,25
서울,구로구,40~49세,0
서울,구로구,50~59세,0
서울,구로구,60~69세,0
서울,구로구,70~79세,0
서울,구로구,80~89세,0
서울,구로구,90~99세,0
서울,구로구,100세 이상,0
서울,구로구,0~9세,0
서울,구로구,10~19세,0
서울,구로구,20~29세,12
서울,구로구,30~39세,43
서울,구로구,40~49세,59
서울,구로구,50~59세,49
서울,구로구,60~69세,36
서울,구로구,70~79세,0
서울,구로구,80~89세,0
서울,구로구,90~99세,0
서울,구로구,100세 이상,0
서울,도봉구,0~9세,0
서울,도봉구,10~19세,0
서울,도봉구,20~29세,0
서울,도봉구,30~39세,0
서울,도봉구,40~49세,0
서울,도봉구,50~59세,0
서울,도봉구,60~69세,0
서울,도봉구,70~79세,0
서울,도봉구,80~89세,0
서울,도봉구,90~99세,0
서울,도봉구,100세 이상,0
서울,도봉구,0~9세,0
서울,도봉구,10~19세,0
서울,도봉구,20~29세,0
서울,도봉구,30~39세,0
서울,도봉구,40~49세,0
서울,도봉구,50~59세,0
서울,도봉구,60~69세,0
서울,도봉구,70~79세,0
서울,도봉구,80~89세,0
서울,도봉구,90~99세,0
서울,도봉구,100세 이상,0
서울,동대문구,0~9세,0
서울,동대문구,10~19세,0
서울,동대문구,20~29세,0
서울,동대문구,30~39세,0
서울,동대문구,40~49세,0
서울,동대문구,50~59세,0
서울,동대문구,60~69세,0
서울,동대문구,70~79세,0
서울,동대문구,80~89세,0
서울,동대문구,90~99세,0
서울,동대문구,100세 이상,0
서울,동대문구,0~9세,0
서울,동대문구,10~19세,0
서울,동대문구,20~29세,14
서울,동대문구,30~39세,20
서울,동대문구,40~49세,26
서울,동대문구,50~59세,11
서울,동대문구,60~69세,0
서울,동대문구,70~79세,0
서울,동대문구,80~89세,0
서울,동대문구,90~99세,0
서울,동대문구,100세 이상,0
서울,동작구,0~9세,10
서울,동작구,10~19세,16
서울,동작구,20~29세,0
서울,동작구,30~39세,0
서울,동작구,40~49세,0
서울,동작구,50~59세,0
서울,동작구,60~69세,0
서울,동작구,70~79세,0
서울,동작구,80~89세,0
서울,동작구,90~99세,0
서울,동작구,100세 이상,0
서울,동작구,0~9세,0
서울,동작구,10~19세,0
서울,동작구,20~29세,10
서울,동작구,30~39세,15
서울,동작구,40~49세,14
서울,동작구,50~59세,10
서울,동작구,60~69세,0
서울,동작구,70~79세,0
서울,동작구,80~89세,0
서울,동작구,90~99세,0
서울,동작구,100세 이상,0
서울,마포구,0~9세,0
서울,마포구,10~19세,0
서울,마포구,20~29세,0
서울,마포구,30~39세,17
서울,마포구,40~49세,0
서울,마포구,50~59세,0
서울,마포구,60~69세,0
서울,마포구,70~79세,0
서울,마포구,80~89세,0
서울,마포구,90~99세,0
서울,마포구,100세 이상,0
서울,마포구,0~9세,0
서울,마포구,10~19세,0
서울,마포구,20~29세,28
서울,마포구,30~39세,34
서울,마포구,40~49세,23
서울,마포구,50~59세,26
서울,마포구,60~69세,0
서울,마포구,70~79세,0
서울,마포구,80~89세,0
서울,마포구,90~99세,0
서울,마포구,100세 이상,0
서울,서대문구,0~9세,0
서울,서대문구,10~19세,13
서울,서대문구,20~29세,0
서울,서대문구,30~39세,0
서울,서대문구,40~49세,0
서울,서대문구,50~59세,0
서울,서대문구,60~69세,0
서울,서대문구,70~79세,0
서울,서대문구,80~89세,0
서울,서대문구,90~99세,0
서울,서대문구,100세 이상,0
서울,서대문구,0~9세,0
서울,서대문구,10~19세,0
서울,서대문구,20~29세,14
서울,서대문구,30~39세,16
서울,서대문구,40~49세,15
서울,서대문구,50~59세,0
서울,서대문구,60~69세,0
서울,서대문구,70~79세,0
서울,서대문구,80~89세,0
서울,서대문구,90~99세,0
서울,서대문구,100세 이상,0
서울,성동구,0~9세,0
서울,성동구,10~19세,0
서울,성동구,20~29세,0
서울,성동구,30~39세,0
서울,성동구,40~49세,0
서울,성동구,50~59세,0
서울,성동구,60~69세,0
서울,성동구,70~79세,0
서울,성동구,80~89세,0
서울,성동구,90~99세,0
서울,성동구,100세 이상,0
서울,성동구,0~9세,0
서울,성동구,10~19세,0
서울,성동구,20~29세,0
서울,성동구,30~39세,18
서울,성동구,40~49세,20
서울,성동구,50~59세,0
서울,성동구,60~69세,0
서울,성동구,70~79세,0
서울,성동구,80~89세,0
서울,성동구,90~99세,0
서울,성동구,100세 이상,0
서울,성북구,0~9세,15
서울,성북구,10~19세,24
서울,성북구,20~29세,30
서울,성북구,30~39세,29
서울,성북구,40~49세,20
서울,성북구,50~59세,10
서울,성북구,60~69세,0
서울,성북구,70~79세,0
서울,성북구,80~89세,0
서울,성북구,90~99세,0
서울,성북구,100세 이상,0
서울,성북구,0~9세,0
서울,성북구,10~19세,14
서울,성북구,20~29세,25
서울,성북구,30~39세,32
서울,성북구,40~49세,37
서울,성북구,50~59세,29
서울,성북구,60~69세,14
서울,성북구,70~79세,0
서울,성북구,80~89세,0
서울,성북구,90~99세,0
서울,성북구,100세 이상,0
서울,영등포구,0~9세,0
서울,영등포구,10~19세,0
서울,영등포구,20~29세,0
서울,영등포구,30~39세,20
서울,영등포구,40~49세,13
서울,영등포구,50~59세,0
서울,영등포구,60~69세,0
서울,영등포구,70~79세,0
서울,영등포구,80~89세,0
서울,영등포구,90~99세,0
서울,영등포구,100세 이상,0
서울,영등포구,0~9세,0
서울,영등포구,10~19세,0
서울,영등포구,20~29세,14
서울,영등포구,30~39세,24
서울,영등포구,40~49세,43
서울,영등포구,50~59세,20
서울,영등포구,60~69세,0
서울,영등포구,70~79세,0
서울,영등포구,80~89세,0
서울,영등포구,90~99세,0
서울,영등포구,100세 이상,0
서울,용산구,0~9세,0
서울,용산구,10~19세,0
서울,용산구,20~29세,15
서울,용산구,30~39세,40
서울,용산구,40~49세,17
서울,용산구,50~59세,12
서울,용산구,60~69세,0
서울,용산구,70~79세,0
서울,용산구,80~89세,0
서울,용산구,90~99세,0
서울,용산구,100세 이상,0
서울,용산구,0~9세,0
서울,용산구,10~19세,0
서울,용산구,20~29세,56
서울,용산구,30~39세,83
서울,용산구,40~49세,48
서울,용산구,50~59세,29
서울,용산구,60~69세,0
서울,용산구,70~79세,0
서울,용산구,80~89세,0
서울,용산구,90~99세,0
서울,용산구,100세 이상,0
서울,은평구,0~9세,0
서울,은평구,10~19세,12
서울,은평구,20~29세,10
서울,은평구,30~39세,12
서울,은평구,40~49세,0
서울,은평구,50~59세,0
서울,은평구,60~69세,0
서울,은평구,70~79세,0
서울,은평구,80~89세,0
서울,은평구,90~99세,0
서울,은평구,100세 이상,0
서울,은평구,0~9세,0
서울,은평구,10~19세,0
서울,은평구,20~29세,14
서울,은평구,30~39세,26
서울,은평구,40~49세,28
서울,은평구,50~59세,21
서울,은평구,60~69세,0
서울,은평구,70~79세,0
서울,은평구,80~89세,0
서울,은평구,90~99세,0
서울,은평구,100세 이상,0
서울,종로구,0~9세,0
서울,종로구,10~19세,0
서울,종로구,20~29세,21
서울,종로구,30~39세,32
서울,종로구,40~49세,26
서울,종로구,50~59세,16
서울,종로구,60~69세,0
서울,종로구,70~79세,0
서울,종로구,80~89세,0
서울,종로구,90~99세,0
서울,종로구,100세 이상,0
서울,종로구,0~9세,0
서울,종로구,10~19세,0
서울,종로구,20~29세,29
서울,종로구,30~39세,58
서울,종로구,40~49세,63
서울,종로구,50~59세,39
서울,종로구,60~69세,17
서울,종로구,70~79세,0
서울,종로구,80~89세,0
서울,종로구,90~99세,0
서울,종로구,100세 이상,0
서울,중구,0~9세,0
서울,중구,10~19세,0
서울,중구,20~29세,0
서울,중구,30~39세,0
서울,중구,40~49세,0
서울,중구,50~59세,0
서울,중구,60~69세,0
서울,중구,70~79세,0
서울,중구,80~89세,0
서울,중구,90~99세,0
서울,중구,100세 이상,0
서울,중구,0~9세,0
서울,중구,10~19세,0
서울,중구,20~29세,0
서울,중구,30~39세,19
서울,중구,40~49세,14
서울,중구,50~59세,0
서울,중구,60~69세,0
서울,중구,70~79세,0
서울,중구,80~89세,0
서울,중구,90~99세,0
서울,중구,100세 이상,0
서울,송파구,0~9세,19
서울,송파구,10~19세,73
서울,송파구,20~29세,78
서울,송파구,30~39세,97
서울,송파구,40~49세,96
서울,송파구,50~59세,63
서울,송파구,60~69세,26
서울,송파구,70~79세,0
서울,송파구,80~89세,0
서울,송파구,90~99세,0
서울,송파구,100세 이상,0
서울,송파구,0~9세,14
서울,송파구,10~19세,46
서울,송파구,20~29세,118
서울,송파구,30~39세,206
서울,송파구,40~49세,264
서울,송파구,50~59세,179
서울,송파구,60~69세,110
서울,송파구,70~79세,34
서울,송파구,80~89세,0
서울,송파구,90~99세,0
서울,송파구,100세 이상,0
서울,중랑구,0~9세,0
서울,중랑구,10~19세,0
서울,중랑구,20~29세,16
서울,중랑구,30~39세,32
서울,중랑구,40~49세,17
서울,중랑구,50~59세,0
서울,중랑구,60~69세,0
서울,중랑구,70~79세,0
서울,중랑구,80~89세,0
서울,중랑구,90~99세,0
서울,중랑구,100세 이상,0
서울,중랑구,0~9세,0
서울,중랑구,10~19세,10
서울,중랑구,20~29세,63
서울,중랑구,30~39세,142
서울,중랑구,40~49세,113
서울,중랑구,50~59세,59
서울,중랑구,60~69세,18
서울,중랑구,70~79세,0
서울,중랑구,80~89세,0
서울,중랑구,90~99세,0
서울,중랑구,100세 이상,0
서울,양천구,0~9세,0
서울,양천구,10~19세,0
서울,양천구,20~29세,0
서울,양천구,30~39세,12
서울,양천구,40~49세,0
서울,양천구,50~59세,0
서울,양천구,60~69세,0
서울,양천구,70~79세,0
서울,양천구,80~89세,0
서울,양천구,90~99세,0
서울,양천구,100세 이상,0
서울,양천구,0~9세,0
서울,양천구,10~19세,0
서울,양천구,20~29세,14
서울,양천구,30~39세,22
서울,양천구,40~49세,28
서울,양천구,50~59세,33
서울,양천구,60~69세,15
서울,양천구,70~79세,0
서울,양천구,80~89세,0
서울,양천구,90~99세,0
서울,양천구,100세 이상,0
서울,서초구,0~9세,0
서울,서초구,10~19세,11
서울,서초구,20~29세,26
서울,서초구,30~39세,55
서울,서초구,40~49세,33
서울,서초구,50~59세,13
서울,서초구,60~69세,0
서울,서초구,70~79세,0
서울,서초구,80~89세,0
서울,서초구,90~99세,0
서울,서초구,100세 이상,0
서울,서초구,0~9세,0
서울,서초구,10~19세,0
서울,서초구,20~29세,80
서울,서초구,30~39세,138
서울,서초구,40~49세,122
서울,서초구,50~59세,59
서울,서초구,60~69세,16
서울,서초구,70~79세,0
서울,서초구,80~89세,0
서울,서초구,90~99세,0
서울,서초구,100세 이상,0
서울,노원구,0~9세,0
서울,노원구,10~19세,0
서울,노원구,20~29세,0
서울,노원구,30~39세,0
서울,노원구,40~49세,0
서울,노원구,50~59세,0
서울,노원구,60~69세,0
서울,노원구,70~79세,0
서울,노원구,80~89세,0
서울,노원구,90~99세,0
서울,노원구,100세 이상,0
서울,노원구,0~9세,0
서울,노원구,10~19세,0
서울,노원구,20~29세,0
서울,노원구,30~39세,25
서울,노원구,40~49세,24
서울,노원구,50~59세,21
서울,노원구,60~69세,0
서울,노원구,70~79세,0
서울,노원구,80~89세,0
서울,노원구,90~99세,0
서울,노원구,100세 이상,0
서울,광진구,0~9세,0
서울,광진구,10~19세,0
서울,광진구,20~29세,0
서울,광진구,30~39세,0
서울,광진구,40~49세,0
서울,광진구,50~59세,0
서울,광진구,60~69세,0
서울,광진구,70~79세,0
서울,광진구,80~89세,0
서울,광진구,90~99세,0
서울,광진구,100세 이상,0
서울,광진구,0~9세,0
서울,광진구,10~19세,0
서울,광진구,20~29세,0
서울,광진구,30~39세,12
서울,광진구,40~49세,18
서울,광진구,50~59세,30
서울,광진구,60~69세,0
서울,광진구,70~79세,0
서울,광진구,80~89세,0
서울,광진구,90~99세,0
