진료년도,시도,시군구,성별,환자수,입내원일수,요양급여비용총액
2023,서울,강남구,남,264,783,367032330
2023,서울,강남구,여,809,2291,780874200
2023,서울,강동구,남,97,232,69142800
2023,서울,강동구,여,540,944,165650020
2023,서울,강서구,남,17,43,18446780
2023,서울,강서구,여,155,244,30980270
2023,서울,관악구,남,293,1435,1417299440
2023,서울,관악구,여,853,4133,3741810040
2023,서울,구로구,남,68,187,67774310
2023,서울,구로구,여,202,541,94596430
2023,서울,도봉구,남,10,20,777290
2023,서울,도봉구,여,22,35,633000
2023,서울,동대문구,남,27,72,16392510
2023,서울,동대문구,여,89,210,50877100
2023,서울,동작구,남,53,136,31998470
2023,서울,동작구,여,64,117,17981950
2023,서울,마포구,남,40,83,59572530
2023,서울,마포구,여,122,260,199581210
2023,서울,서대문구,남,36,96,19725110
2023,서울,서대문구,여,71,170,9380530
2023,서울,성동구,남,29,124,63822610
2023,서울,성동구,여,61,115,30686770
2023,서울,성북구,남,126,442,187229240
2023,서울,성북구,여,157,483,212267460
2023,서울,영등포구,남,53,135,17030440
2023,서울,영등포구,여,122,240,36236970
2023,서울,용산구,남,91,381,242930100
2023,서울,용산구,여,216,900,814328930
2023,서울,은평구,남,48,186,73181300
2023,서울,은평구,여,107,313,56684760
2023,서울,종로구,남,114,525,244869960
2023,서울,종로구,여,219,666,255694580
2023,서울,중구,남,21,30,675980
2023,서울,중구,여,48,69,1308410
2023,서울,송파구,남,446,1325,238535070
2023,서울,송파구,여,951,2669,373959570
2023,서울,중랑구,남,71,268,205422800
2023,서울,중랑구,여,407,1766,1488825410
2023,서울,양천구,남,44,65,1352410
2023,서울,양천구,여,121,292,9134690
2023,서울,서초구,남,143,404,117129430
2023,서울,서초구,여,424,779,120363780
2023,서울,노원구,남,40,99,39028310
2023,서울,노원구,여,89,173,4539070
2023,서울,광진구,남,11,11,192090
2023,서울,광진구,여,79,109,2168100
2023,서울,강북구,남,91,490,480213460
2023,서울,강북구,여,229,1095,1073254650
2023,서울,금천구,남,0,0,0
2023,서울,금천구,여,50,77,1298880
2023,부산,부산남구,남,0,0,0
2023,부산,부산남구,여,32,60,932460
2023,부산,부산동구,남,13,23,712090
2023,부산,부산동구,여,61,191,2989020
2023,부산,부산동래구,남,15,29,1594010
2023,부산,부산동래구,여,38,65,2512690
2023,부산,부산진구,남,34,99,35136080
2023,부산,부산진구,여,143,413,288415550
2023,부산,부산북구,남,0,0,0
2023,부산,부산북구,여,33,39,1279950
2023,부산,부산서구,남,63,257,94662770
2023,부산,부산서구,여,140,617,229141770
2023,부산,부산영도구,남,0,0,0
2023,부산,부산영도구,여,13,17,306590
2023,부산,부산중구,남,0,0,0
2023,부산,부산중구,여,19,30,620410
2023,부산,부산해운대구,남,36,96,27089400
2023,부산,부산해운대구,여,197,501,67754960
2023,부산,부산사하구,남,14,17,476870
2023,부산,부산사하구,여,42,71,1230000
2023,부산,부산금정구,남,0,0,0
2023,부산,부산금정구,여,33,67,1078680
2023,부산,부산강서구,남,10,11,225350
2023,부산,부산강서구,여,25,43,1114980
2023,부산,부산연제구,남,25,62,30552900
2023,부산,부산연제구,여,92,238,101794720
2023,부산,부산수영구,남,0,0,0
2023,부산,부산수영구,여,36,58,2285420
2023,부산,부산사상구,남,0,0,0
2023,부산,부산사상구,여,15,18,278820
2023,부산,부산기장군,남,0,0,0
2023,부산,부산기장군,여,40,76,1453490
2023,인천,인천미추홀구,남,29,33,1079610
2023,인천,인천미추홀구,여,94,133,3096760
2023,인천,인천동구,남,0,0,0
2023,인천,인천동구,여,26,80,1310220
2023,인천,인천부평구,남,89,249,44657700
2023,인천,인천부평구,여,149,540,156552400
2023,인천,인천중구,남,0,0,0
2023,인천,인천중구,여,33,49,821880
2023,인천,인천서구,남,59,95,14510030
2023,인천,인천서구,여,98,153,24910620
2023,인천,인천남동구,남,80,360,173290470
2023,인천,인천남동구,여,296,1175,741176530
2023,인천,인천연수구,남,100,135,8244510
2023,인천,인천연수구,여,116,166,7299570
2023,인천,인천계양구,남,42,110,169687230
2023,인천,인천계양구,여,154,495,711393470
2023,인천,인천강화군,남,0,0,0
2023,인천,인천강화군,여,0,0,0
2023,인천,인천옹진군,남,0,0,0
2023,인천,인천옹진군,여,0,0,0
2023,대구,대구남구,남,10,17,741510
