진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,강남구,남,0~9세,24,28,1413780
2023,서울,강남구,남,10~19세,29,58,9665130
2023,서울,강남구,남,20~29세,39,143,85013890
2023,서울,강남구,남,30~39세,63,279,175002890
2023,서울,강남구,남,40~49세,57,120,43546730
2023,서울,강남구,남,50~59세,43,123,48445070
2023,서울,강남구,남,60~69세,13,27,3394660
2023,서울,강남구,남,70~79세,0,0,0
2023,서울,강남구,남,80~89세,0,0,0
2023,서울,강남구,남,90~99세,0,0,0
2023,서울,강남구,남,100세 이상,0,0,0
2023,서울,강남구,여,0~9세,16,32,2498500
2023,서울,강남구,여,10~19세,25,115,38825920
2023,서울,강남구,여,20~29세,157,455,188240260
2023,서울,강남구,여,30~39세,228,656,293252360
2023,서울,강남구,여,40~49세,236,705,213629700
2023,서울,강남구,여,50~59세,114,235,38320040
2023,서울,강남구,여,60~69세,43,88,6029110
2023,서울,강남구,여,70~79세,0,0,0
2023,서울,강남구,여,80~89세,0,0,0
2023,서울,강남구,여,90~99세,0,0,0
2023,서울,강남구,여,100세 이상,0,0,0
2023,서울,강동구,남,0~9세,0,0,0
2023,서울,강동구,남,10~19세,0,0,0
2023,서울,강동구,남,20~29세,22,72,51981970
2023,서울,강동구,남,30~39세,26,48,2011330
2023,서울,강동구,남,40~49세,29,63,4106010
2023,서울,강동구,남,50~59세,14,32,1390460
2023,서울,강동구,남,60~69세,0,0,0
2023,서울,강동구,남,70~79세,0,0,0
2023,서울,강동구,남,80~89세,0,0,0
2023,서울,강동구,남,90~99세,0,0,0
2023,서울,강동구,남,100세 이상,0,0,0
2023,서울,강동구,여,0~9세,0,0,0
2023,서울,강동구,여,10~19세,0,0,0
2023,서울,강동구,여,20~29세,64,130,44369400
2023,서울,강동구,여,30~39세,166,247,11293390
2023,서울,강동구,여,40~49세,182,311,58987600
2023,서울,강동구,여,50~59세,88,173,37730780
2023,서울,강동구,여,60~69세,35,63,12198590
2023,서울,강동구,여,70~79세,0,0,0
2023,서울,강동구,여,80~89세,0,0,0
2023,서울,강동구,여,90~99세,0,0,0
2023,서울,강동구,여,100세 이상,0,0,0
2023,서울,강서구,남,0~9세,0,0,0
2023,서울,강서구,남,10~19세,0,0,0
2023,서울,강서구,남,20~29세,0,0,0
2023,서울,강서구,남,30~39세,11,33,18302830
2023,서울,강서구,남,40~49세,0,0,0
2023,서울,강서구,남,50~59세,0,0,0
2023,서울,강서구,남,60~69세,0,0,0
2023,서울,강서구,남,70~79세,0,0,0
2023,서울,강서구,남,80~89세,0,0,0
2023,서울,강서구,남,90~99세,0,0,0
2023,서울,강서구,남,100세 이상,0,0,0
2023,서울,강서구,여,0~9세,0,0,0
2023,서울,강서구,여,10~19세,0,0,0
2023,서울,강서구,여,20~29세,23,48,16151280
2023,서울,강서구,여,30~39세,35,52,919070
2023,서울,강서구,여,40~49세,55,83,12444660
2023,서울,강서구,여,50~59세,26,35,479890
2023,서울,강서구,여,60~69세,12,18,586110
2023,서울,강서구,여,70~79세,0,0,0
2023,서울,강서구,여,80~89세,0,0,0
2023,서울,강서구,여,90~99세,0,0,0
2023,서울,강서구,여,100세 이상,0,0,0
2023,서울,관악구,남,0~9세,0,0,0
2023,서울,관악구,남,10~19세,0,0,0
2023,서울,관악구,남,20~29세,79,395,355610390
2023,서울,관악구,남,30~39세,118,600,643921320
2023,서울,관악구,남,40~49세,58,254,249751200
2023,서울,관악구,남,50~59세,20,85,69337040
2023,서울,관악구,남,60~69세,0,0,0
2023,서울,관악구,남,70~79세,0,0,0
2023,서울,관악구,남,80~89세,0,0,0
2023,서울,관악구,남,90~99세,0,0,0
2023,서울,관악구,남,100세 이상,0,0,0
2023,서울,관악구,여,0~9세,0,0,0
2023,서울,관악구,여,10~19세,22,128,120382700
2023,서울,관악구,여,20~29세,197,941,864632610
2023,서울,관악구,여,30~39세,340,1681,1509665770
2023,서울,관악구,여,40~49세,198,945,872339260
2023,서울,관악구,여,50~59세,90,349,308218670
2023,서울,관악구,여,60~69세,22,84,66496190
2023,서울,관악구,여,70~79세,0,0,0
2023,서울,관악구,여,80~89세,0,0,0
2023,서울,관악구,여,90~99세,0,0,0
2023,서울,관악구,여,100세 이상,0,0,0
2023,서울,구로구,남,0~9세,0,0,0
2023,서울,구로구,남,10~19세,0,0,0
2023,서울,구로구,남,20~29세,11,19,948630
2023,서울,구로구,남,30~39세,25,71,25522690
2023,서울,구로구,남,40~49세,0,0,0
2023,서울,구로구,남,50~59세,0,0,0
2023,서울,구로구,남,60~69세,0,0,0
2023,서울,구로구,남,70~79세,0,0,0
2023,서울,구로구,남,80~89세,0,0,0
2023,서울,구로구,남,90~99세,0,0,0
2023,서울,구로구,남,100세 이상,0,0,0
2023,서울,구로구,여,0~9세,0,0,0
2023,서울,구로구,여,10~19세,0,0,0
2023,서울,구로구,여,20~29세,12,22,487470
2023,서울,구로구,여,30~39세,43,198,56029140
2023,서울,구로구,여,40~49세,59,133,25787240
2023,서울,구로구,여,50~59세,49,103,3722830
2023,서울,구로구,여,60~69세,36,61,1157320
2023,서울,구로구,여,70~79세,0,0,0
2023,서울,구로구,여,80~89세,0,0,0
2023,서울,구로구,여,90~99세,0,0,0
2023,서울,구로구,여,100세 이상,0,0,0
2023,서울,도봉구,남,0~9세,0,0,0
2023,서울,도봉구,남,10~19세,0,0,0
2023,서울,도봉구,남,20~29세,0,0,0
2023,서울,도봉구,남,30~39세,0,0,0
2023,서울,도봉구,남,40~49세,0,0,0
2023,서울,도봉구,남,50~59세,0,0,0
2023,서울,도봉구,남,60~69세,0,0,0
2023,서울,도봉구,남,70~79세,0,0,0
2023,서울,도봉구,남,80~89세,0,0,0
2023,서울,도봉구,남,90~99세,0,0,0
2023,서울,도봉구,남,100세 이상,0,0,0
2023,서울,도봉구,여,0~9세,0,0,0
2023,서울,도봉구,여,10~19세,0,0,0
2023,서울,도봉구,여,20~29세,0,0,0
2023,서울,도봉구,여,30~39세,0,0,0
2023,서울,도봉구,여,40~49세,0,0,0
2023,서울,도봉구,여,50~59세,0,0,0
2023,서울,도봉구,여,60~69세,0,0,0
2023,서울,도봉구,여,70~79세,0,0,0
2023,서울,도봉구,여,80~89세,0,0,0
2023,서울,도봉구,여,90~99세,0,0,0
2023,서울,도봉구,여,100세 이상,0,0,0
2023,서울,동대문구,남,0~9세,0,0,0
2023,서울,동대문구,남,10~19세,0,0,0
2023,서울,동대문구,남,20~29세,0,0,0
2023,서울,동대문구,남,30~39세,0,0,0
2023,서울,동대문구,남,40~49세,0,0,0
2023,서울,동대문구,남,50~59세,0,0,0
2023,서울,동대문구,남,60~69세,0,0,0
2023,서울,동대문구,남,70~79세,0,0,0
