진료년도,시도,시군구,성별,연령군,환자수
2023,서울,강남구,남,0~9세,24
2023,서울,강남구,남,10~19세,29
2023,서울,강남구,남,20~29세,39
2023,서울,강남구,남,30~39세,63
2023,서울,강남구,남,40~49세,57
2023,서울,강남구,남,50~59세,43
2023,서울,강남구,남,60~69세,13
2023,서울,강남구,남,70~79세,0
2023,서울,강남구,남,80~89세,0
2023,서울,강남구,남,90~99세,0
2023,서울,강남구,남,100세 이상,0
2023,서울,강남구,여,0~9세,16
2023,서울,강남구,여,10~19세,25
2023,서울,강남구,여,20~29세,157
2023,서울,강남구,여,30~39세,228
2023,서울,강남구,여,40~49세,236
2023,서울,강남구,여,50~59세,114
2023,서울,강남구,여,60~69세,43
2023,서울,강남구,여,70~79세,0
2023,서울,강남구,여,80~89세,0
2023,서울,강남구,여,90~99세,0
2023,서울,강남구,여,100세 이상,0
2023,서울,강동구,남,0~9세,0
2023,서울,강동구,남,10~19세,0
2023,서울,강동구,남,20~29세,22
2023,서울,강동구,남,30~39세,26
2023,서울,강동구,남,40~49세,29
2023,서울,강동구,남,50~59세,14
2023,서울,강동구,남,60~69세,0
2023,서울,강동구,남,70~79세,0
2023,서울,강동구,남,80~89세,0
2023,서울,강동구,남,90~99세,0
2023,서울,강동구,남,100세 이상,0
2023,서울,강동구,여,0~9세,0
2023,서울,강동구,여,10~19세,0
2023,서울,강동구,여,20~29세,64
2023,서울,강동구,여,30~39세,166
2023,서울,강동구,여,40~49세,182
2023,서울,강동구,여,50~59세,88
2023,서울,강동구,여,60~69세,35
2023,서울,강동구,여,70~79세,0
2023,서울,강동구,여,80~89세,0
2023,서울,강동구,여,90~99세,0
2023,서울,강동구,여,100세 이상,0
2023,서울,강서구,남,0~9세,0
2023,서울,강서구,남,10~19세,0
2023,서울,강서구,남,20~29세,0
2023,서울,강서구,남,30~39세,11
2023,서울,강서구,남,40~49세,0
2023,서울,강서구,남,50~59세,0
2023,서울,강서구,남,60~69세,0
2023,서울,강서구,남,70~79세,0
2023,서울,강서구,남,80~89세,0
2023,서울,강서구,남,90~99세,0
2023,서울,강서구,남,100세 이상,0
2023,서울,강서구,여,0~9세,0
2023,서울,강서구,여,10~19세,0
2023,서울,강서구,여,20~29세,23
2023,서울,강서구,여,30~39세,35
2023,서울,강서구,여,40~49세,55
2023,서울,강서구,여,50~59세,26
2023,서울,강서구,여,60~69세,12
2023,서울,강서구,여,70~79세,0
2023,서울,강서구,여,80~89세,0
2023,서울,강서구,여,90~99세,0
2023,서울,강서구,여,100세 이상,0
2023,서울,관악구,남,0~9세,0
2023,서울,관악구,남,10~19세,0
2023,서울,관악구,남,20~29세,79
2023,서울,관악구,남,30~39세,118
2023,서울,관악구,남,40~49세,58
2023,서울,관악구,남,50~59세,20
2023,서울,관악구,남,60~69세,0
2023,서울,관악구,남,70~79세,0
2023,서울,관악구,남,80~89세,0
2023,서울,관악구,남,90~99세,0
2023,서울,관악구,남,100세 이상,0
2023,서울,관악구,여,0~9세,0
2023,서울,관악구,여,10~19세,22
2023,서울,관악구,여,20~29세,197
2023,서울,관악구,여,30~39세,340
2023,서울,관악구,여,40~49세,198
2023,서울,관악구,여,50~59세,90
2023,서울,관악구,여,60~69세,22
2023,서울,관악구,여,70~79세,0
2023,서울,관악구,여,80~89세,0
2023,서울,관악구,여,90~99세,0
2023,서울,관악구,여,100세 이상,0
2023,서울,구로구,남,0~9세,0
2023,서울,구로구,남,10~19세,0
2023,서울,구로구,남,20~29세,11
2023,서울,구로구,남,30~39세,25
2023,서울,구로구,남,40~49세,0
2023,서울,구로구,남,50~59세,0
2023,서울,구로구,남,60~69세,0
2023,서울,구로구,남,70~79세,0
2023,서울,구로구,남,80~89세,0
2023,서울,구로구,남,90~99세,0
2023,서울,구로구,남,100세 이상,0
2023,서울,구로구,여,0~9세,0
2023,서울,구로구,여,10~19세,0
2023,서울,구로구,여,20~29세,12
2023,서울,구로구,여,30~39세,43
2023,서울,구로구,여,40~49세,59
2023,서울,구로구,여,50~59세,49
2023,서울,구로구,여,60~69세,36
2023,서울,구로구,여,70~79세,0
2023,서울,구로구,여,80~89세,0
2023,서울,구로구,여,90~99세,0
2023,서울,구로구,여,100세 이상,0
2023,서울,도봉구,남,0~9세,0
2023,서울,도봉구,남,10~19세,0
2023,서울,도봉구,남,20~29세,0
2023,서울,도봉구,남,30~39세,0
2023,서울,도봉구,남,40~49세,0
2023,서울,도봉구,남,50~59세,0
2023,서울,도봉구,남,60~69세,0
2023,서울,도봉구,남,70~79세,0
2023,서울,도봉구,남,80~89세,0
2023,서울,도봉구,남,90~99세,0
2023,서울,도봉구,남,100세 이상,0
2023,서울,도봉구,여,0~9세,0
2023,서울,도봉구,여,10~19세,0
2023,서울,도봉구,여,20~29세,0
2023,서울,도봉구,여,30~39세,0
2023,서울,도봉구,여,40~49세,0
2023,서울,도봉구,여,50~59세,0
2023,서울,도봉구,여,60~69세,0
2023,서울,도봉구,여,70~79세,0
2023,서울,도봉구,여,80~89세,0
2023,서울,도봉구,여,90~99세,0
2023,서울,도봉구,여,100세 이상,0
2023,서울,동대문구,남,0~9세,0
2023,서울,동대문구,남,10~19세,0
2023,서울,동대문구,남,20~29세,0
2023,서울,동대문구,남,30~39세,0
2023,서울,동대문구,남,40~49세,0
2023,서울,동대문구,남,50~59세,0
2023,서울,동대문구,남,60~69세,0
2023,서울,동대문구,남,70~79세,0
2023,서울,동대문구,남,80~89세,0
2023,서울,동대문구,남,90~99세,0
2023,서울,동대문구,남,100세 이상,0
2023,서울,동대문구,여,0~9세,0
2023,서울,동대문구,여,10~19세,0
2023,서울,동대문구,여,20~29세,14
2023,서울,동대문구,여,30~39세,20
2023,서울,동대문구,여,40~49세,26
2023,서울,동대문구,여,50~59세,11
2023,서울,동대문구,여,60~69세,0
2023,서울,동대문구,여,70~79세,0
2023,서울,동대문구,여,80~89세,0
2023,서울,동대문구,여,90~99세,0
2023,서울,동대문구,여,100세 이상,0
2023,서울,동작구,남,0~9세,10
2023,서울,동작구,남,10~19세,16
2023,서울,동작구,남,20~29세,0
2023,서울,동작구,남,30~39세,0
2023,서울,동작구,남,40~49세,0
2023,서울,동작구,남,50~59세,0
2023,서울,동작구,남,60~69세,0
2023,서울,동작구,남,70~79세,0
2023,서울,동작구,남,80~89세,0
2023,서울,동작구,남,90~99세,0
2023,서울,동작구,남,100세 이상,0
2023,서울,동작구,여,0~9세,0
2023,서울,동작구,여,10~19세,0
2023,서울,동작구,여,20~29세,10
2023,서울,동작구,여,30~39세,15
2023,서울,동작구,여,40~49세,14
2023,서울,동작구,여,50~59세,10
2023,서울,동작구,여,60~69세,0
2023,서울,동작구,여,70~79세,0
2023,서울,동작구,여,80~89세,0
2023,서울,동작구,여,90~99세,0
2023,서울,동작구,여,100세 이상,0
2023,서울,마포구,남,0~9세,0
2023,서울,마포구,남,10~19세,0
2023,서울,마포구,남,20~29세,0
2023,서울,마포구,남,30~39세,17
2023,서울,마포구,남,40~49세,0
2023,서울,마포구,남,50~59세,0
2023,서울,마포구,남,60~69세,0
2023,서울,마포구,남,70~79세,0
2023,서울,마포구,남,80~89세,0
2023,서울,마포구,남,90~99세,0
2023,서울,마포구,남,100세 이상,0
2023,서울,마포구,여,0~9세,0
2023,서울,마포구,여,10~19세,0
2023,서울,마포구,여,20~29세,28
2023,서울,마포구,여,30~39세,34
2023,서울,마포구,여,40~49세,23
2023,서울,마포구,여,50~59세,26
2023,서울,마포구,여,60~69세,0
2023,서울,마포구,여,70~79세,0
2023,서울,마포구,여,80~89세,0
2023,서울,마포구,여,90~99세,0
2023,서울,마포구,여,100세 이상,0
2023,서울,서대문구,남,0~9세,0
2023,서울,서대문구,남,10~19세,13
2023,서울,서대문구,남,20~29세,0
